Titre :;Agrégats monétaires France, M1 [encours];Agrégats monétaires France, M2 [encours];Agrégats monétaires France, M3 [encours]
Code série :;BSI1.M.FR.N.V.M10.A.1.U2.2300.Z01.E;BSI1.M.FR.N.V.M20.A.1.U2.2300.Z01.E;BSI1.M.FR.N.V.M30.A.1.U2.2300.Z01.E
Unité :;Euro (EUR);Euro (EUR);Euro (EUR)
Magnitude :;Millions (6);Millions (6);Millions (6)
Méthode d'observation :;Fin de période (E);Fin de période (E);Fin de période (E)
Source :;Banque de France (FR2);Banque de France (FR2);Banque de France (FR2)
Avr 2015;912442;1711250;2131284
Mar 2015;898367;1694986;2079460
Fév 2015;879339;1665814;2074285
Jan 2015;883390;1697300;2095069
Déc 2014;889135;1707725;2090508
Nov 2014;860057;1669914;2076140
Oct 2014;848166;1652410;2057479
Sep 2014;843160;1654816;2044250
Aoû 2014;842881;1660201;2061173
Jul 2014;844321;1650920;2048677
Jun 2014;840647;1645500;2032708
Mai 2014;814916;1630733;2032566
Avr 2014;812749;1628102;2022476
Mar 2014;813218;1624988;2021463
Fév 2014;803728;1611881;2020102
Jan 2014;804508;1613513;2011912
Déc 2013;828102;1645358;2013125
Nov 2013;809647;1610113;2015435
Oct 2013;810658;1613008;2008672
Sep 2013;815176;1623945;2027417
Aoû 2013;809867;1625197;2054887
Jul 2013;816756;1627751;2047481
Jun 2013;807179;1615217;2036088
Mai 2013;797454;1610531;2054499
Avr 2013;795043;1617403;2056486
Mar 2013;770211;1589268;2024915
Fév 2013;758897;1567548;2003415
Jan 2013;769662;1577523;2001758
Déc 2012;797932;1600459;2007676
Nov 2012;756172;1537572;1967674
Oct 2012;756866;1545199;1984842
Sep 2012;766547;1539448;1976952
Aoû 2012;761155;1541508;1999374
Jul 2012;774880;1552507;2015466
Jun 2012;760456;1529485;1996702
Mai 2012;753379;1526655;1999032
Avr 2012;748194;1522915;1988457
Mar 2012;750955;1522689;1986694
Fév 2012;741400;1511609;1955593
Jan 2012;767032;1526265;1974107
Déc 2011;761399;1514025;1967230
Nov 2011;728001;1478297;1934344
Oct 2011;730217;1478762;1935233
Sep 2011;724505;1480564;1944194
Aoû 2011;714001;1474100;1948501
Jul 2011;729876;1477102;1928427
Jun 2011;720258;1459410;1915459
Mai 2011;698066;1451566;1935782
Avr 2011;708314;1457167;1947261
Mar 2011;693559;1438978;1916797
Fév 2011;685351;1426493;1910700
Jan 2011;696876;1431829;1904871
Déc 2010;727238;1456293;1922078
Nov 2010;691734;1414853;1900350
Oct 2010;696098;1415970;1897401
Sep 2010;690372;1397028;1872437
Aoû 2010;687494;1394933;1871418
Jul 2010;700204;1391684;1856627
Jun 2010;684730;1371763;1835673
Mai 2010;668836;1359385;1829498
Avr 2010;681254;1367651;1841933
Mar 2010;654062;1336000;1793245
Fév 2010;644668;1328023;1783981
Jan 2010;654618;1338325;1803261
Déc 2009;676945;1353649;1803971
Nov 2009;639078;1314056;1777095
Oct 2009;641249;1319594;1782133
Sep 2009;634606;1310824;1783960
Aoû 2009;628615;1310700;1821375
Jul 2009;634744;1308785;1836978
Jun 2009;626906;1299862;1841873
Mai 2009;616361;1306354;1876569
Avr 2009;617359;1315367;1880353
Mar 2009;600600;1295920;1849812
Fév 2009;595676;1294224;1854671
Jan 2009;606204;1300333;1839918
Déc 2008;635882;1357765;1883686
Nov 2008;602486;1319472;1870468
Oct 2008;606935;1321402;1878812
Sep 2008;605985;1298647;1834408
Aoû 2008;594443;1285744;1847578
Jul 2008;605070;1288473;1850349
Jun 2008;609880;1278356;1824414
Mai 2008;598066;1267992;1844609
Avr 2008;602325;1267750;1828602
Mar 2008;603485;1259686;1797542
Fév 2008;595644;1247796;1791124
Jan 2008;607915;1241516;1788483
Déc 2007;635029;1256033;1781652
Nov 2007;597024;1204298;1762587
Oct 2007;598884;1194681;1732125
Sep 2007;607790;1182338;1706275
Aoû 2007;591695;1163403;1682150
Jul 2007;610591;1174391;1690774
Jun 2007;614088;1163780;1671117
Mai 2007;586786;1132339;1663453
Avr 2007;595219;1135553;1639155
Mar 2007;587588;1122959;1608554
Fév 2007;572284;1090184;1566422
Jan 2007;571764;1087208;1562877
Déc 2006;600589;1105101;1549752
Nov 2006;562897;1058944;1532239
Oct 2006;563771;1059366;1530164
Sep 2006;565838;1056318;1508433
Aoû 2006;553926;1043445;1504340
Jul 2006;568801;1049007;1484703
Jun 2006;571593;1048348;1467385
Mai 2006;559599;1031735;1479543
Avr 2006;573307;1048087;1488030
Mar 2006;543304;1015264;1424195
Fév 2006;538330;1007550;1414579
Jan 2006;546551;1012933;1405077
Déc 2005;560569;1021812;1397923
Nov 2005;523714;978513;1376010
Oct 2005;527874;987736;1386945
Sep 2005;518804;976416;1368414
Aoû 2005;515086;975101;1376937
Jul 2005;530086;985977;1386140
Jun 2005;516863;970358;1352222
Mai 2005;500019;954496;1356294
Avr 2005;503167;958450;1335319
Mar 2005;497015;943747;1300467
Fév 2005;488797;935901;1300724
Jan 2005;494608;942665;1294246
Déc 2004;500740;942619;1280870
Nov 2004;476807;915651;1263139
Oct 2004;477263;913745;1267555
Sep 2004;469723;899444;1242971
Aoû 2004;463251;892818;1254194
Jul 2004;473774;898237;1255241
Jun 2004;467920;891444;1231466
Mai 2004;462825;887864;1228854
Avr 2004;459531;883090;1230783
Mar 2004;457111;875421;1201844
Fév 2004;445387;865524;1205812
Jan 2004;444673;863029;1192371
Déc 2003;465056;881158;1185573
Nov 2003;434641;845469;1172445
Oct 2003;432213;844469;1171689
Sep 2003;431797;843217;1163229
Aoû 2003;426794;842803;1180482
Jul 2003;432673;848840;1184625
Jun 2003;430014;841111;1166131
Mai 2003;436876;853918;1193068
Avr 2003;431181;847969;1196317
Mar 2003;425515;836122;1151483
Fév 2003;420690;826673;1150523
Jan 2003;422948;826467;1153134
Déc 2002;446985;842732;1146155
Nov 2002;425896;821569;1140367
Oct 2002;416702;811252;1130105
Sep 2002;425804;818175;1137115
Aoû 2002;414656;805679;1131854
Jul 2002;418784;805436;1124338
Jun 2002;420896;802316;1120750
Mai 2002;408753;795646;1125659
Avr 2002;412854;802923;1126526
Mar 2002;406798;789483;1104791
Fév 2002;403559;785279;1107884
Jan 2002;414970;794248;1114716
Déc 2001;406124;779508;1080326
Nov 2001;374323;748235;1069767
Oct 2001;373699;746700;1064666
Sep 2001;374337;744412;1052433
Aoû 2001;372693;744686;1053424
Jul 2001;386513;752314;1066676
Jun 2001;386769;746818;1054664
Mai 2001;370121;730081;1033550
Avr 2001;373863;732479;1036916
Mar 2001;368065;726487;1027729
Fév 2001;370030;724863;1026015
Jan 2001;374124;730351;1025817
Déc 2000;382733;728797;999380
Nov 2000;358633;700917;990324
Oct 2000;358534;699186;984785
Sep 2000;362969;702394;986358
Aoû 2000;361190;701946;989083
Jul 2000;367855;705877;991713
Jun 2000;364915;696397;975949
Mai 2000;356015;687488;979626
Avr 2000;360192;690816;981822
Mar 2000;350605;680166;960676
Fév 2000;348554;677398;941518
Jan 2000;352667;684255;943079
Déc 1999;359172;687555;932956
Nov 1999;336219;660999;928858
Oct 1999;336524;663749;919447
Sep 1999;334504;663279;922510
Aoû 1999;335733;670667;919316
Jul 1999;346647;679159;921281
Jun 1999;338927;666682;920277
Mai 1999;329574;660805;911471
Avr 1999;327809;660906;913492
Mar 1999;330452;661978;899938
Fév 1999;329957;661887;894138
Jan 1999;338042;671926;896019
Déc 1998;326212;653961;875102
Nov 1998;307802;633378;883444
Oct 1998;309516;637000;890700
Sep 1998;313138;639032;880748
Aoû 1998;303506;629012;879237
Jul 1998;314510;641852;899292
Jun 1998;319464;651216;895877
Mai 1998;306512;639953;890442
Avr 1998;308457;641411;898325
Mar 1998;304074;634305;882077
Fév 1998;301457;628572;872465
Jan 1998;304523;629896;873825
Déc 1997;317135;630335;861078
Nov 1997;293740;603826;845480
Oct 1997;290269;600478;840811
Sep 1997;290712;597938;840250
Aoû 1997;287890;597813;842098
Jul 1997;290192;597403;848492
Jun 1997;286175;588502;846539
Mai 1997;272579;575720;833862
Avr 1997;274017;577136;828159
Mar 1997;274946;576296;827648
Fév 1997;265935;565568;812864
Jan 1997;273710;574364;816929
Déc 1996;294388;589065;818214
Nov 1996;271385;562160;813446
Oct 1996;265619;558166;814366
Sep 1996;271748;562848;825559
Aoû 1996;268605;561726;823967
Jul 1996;273211;563930;824153
Jun 1996;277575;565271;828057
Mai 1996;264003;555286;825068
Avr 1996;267833;559422;825506
Mar 1996;268211;560484;827823
Fév 1996;263375;560285;824902
Jan 1996;272438;572991;831321
Déc 1995;292759;590249;841149
Nov 1995;256158;550968;813488
Oct 1995;254763;552622;813035
Sep 1995;260390;558422;822424
Aoû 1995;253657;552664;819487
Jul 1995;262393;558344;819566
Jun 1995;259645;554211;813173
Mai 1995;248857;541522;801124
Avr 1995;256255;548751;802497
Mar 1995;250347;538692;792927
Fév 1995;250895;532283;790766
Jan 1995;256896;536114;783890
Déc 1994;271660;542745;780086
Nov 1994;250641;513408;760108
Oct 1994;256213;517156;756645
Sep 1994;254233;512045;748546
Aoû 1994;251486;509937;750172
Jul 1994;261981;518894;760728
Jun 1994;258615;511514;754276
Mai 1994;246671;498627;745943
Avr 1994;258282;511712;755181
Mar 1994;253563;506913;753150
Fév 1994;251433;503181;749884
Jan 1994;258198;512318;762954
Déc 1993;266116;520872;772822
Nov 1993;245107;493515;760283
Oct 1993;248970;499748;770855
Sep 1993;246052;497256;773639
Aoû 1993;242918;495940;775453
Jul 1993;250055;501978;784866
Jun 1993;254309;506466;790991
Mai 1993;242253;496752;788814
Avr 1993;243834;501269;796540
Mar 1993;244590;503720;806481
Fév 1993;239297;494585;788366
Jan 1993;252008;509314;797903
Déc 1992;267046;524581;804010
Nov 1992;253308;505044;784955
Oct 1992;249344;503301;785113
Sep 1992;247668;502794;785249
Aoû 1992;244781;501475;776040
Jul 1992;249524;505932;776727
Jun 1992;249615;507589;773505
Mai 1992;247645;507471;770029
Avr 1992;248213;510366;766643
Mar 1992;243821;506996;756316
Fév 1992;241822;506534;746599
Jan 1992;249407;516087;748803
Déc 1991;265316;530243;759896
Nov 1991;249520;510691;742496
Oct 1991;244103;507923;740162
Sep 1991;249151;514619;745936
Aoû 1991;250457;515383;742837
Jul 1991;255075;518959;741507
Jun 1991;257850;521493;738562
Mai 1991;247196;511563;727271
Avr 1991;254714;520198;732964
Mar 1991;248546;515151;726421
Fév 1991;246959;513262;720367
Jan 1991;255088;521755;722066
Déc 1990;277611;542671;734237
Nov 1990;248882;510168;699263
Oct 1990;252902;516405;700740
Sep 1990;255613;520560;696772
Aoû 1990;244941;509487;683822
Jul 1990;256344;519726;688774
Jun 1990;258039;519238;682273
Mai 1990;243563;506202;666445
Avr 1990;248050;513420;668164
Mar 1990;246868;513189;663374
Fév 1990;244227;511545;657074
Jan 1990;256937;527792;665368
Déc 1989;268230;538592;670318
Nov 1989;247844;512605;639744
Oct 1989;250776;517002;641081
Sep 1989;246442;513693;634903
Aoû 1989;239862;505904;624929
Jul 1989;250003;513256;630305
Jun 1989;243505;505163;620326
Mai 1989;233502;495839;610197
Avr 1989;239208;500776;613089
Mar 1989;232941;493901;604157
Fév 1989;230802;492418;599630
Jan 1989;240275;501524;601673
Déc 1988;249765;510402;608064
Nov 1988;233806;488694;589213
Oct 1988;235287;491688;591160
Sep 1988;227718;484343;581039
Aoû 1988;227234;483621;576915
Jul 1988;236559;490188;578958
Jun 1988;229907;481108;568587
Mai 1988;223729;475507;565602
Avr 1988;227347;479667;566917
Mar 1988;221367;473730;555254
Fév 1988;220404;473405;553465
Jan 1988;233129;485668;561257
Déc 1987;239964;492693;564034
Nov 1987;224279;470000;542520
Oct 1987;226812;473679;543331
Sep 1987;223332;468587;534657
Aoû 1987;219295;463035;526713
Jul 1987;228764;470322;528031
Jun 1987;228494;467725;521829
Mai 1987;221479;460170;514706
Avr 1987;224510;464436;515543
Mar 1987;219598;459283;507086
Fév 1987;217406;458084;501960
Jan 1987;225675;467075;507393
Déc 1986;230669;471843;509400
Nov 1986;219119;453273;490117
Oct 1986;217835;454420;489931
Sep 1986;217345;454333;488510
Aoû 1986;215062;451233;483617
Jul 1986;219440;454382;485208
Jun 1986;217476;451171;480800
Mai 1986;211980;446008;474825
Avr 1986;212410;449814;476797
Mar 1986;213664;450993;476792
Fév 1986;203009;441394;465957
Jan 1986;204382;444408;468149
Déc 1985;216819;455851;478750
Nov 1985;203640;435118;457718
Oct 1985;203636;438209;460409
Sep 1985;201500;436581;458463
Aoû 1985;196294;429983;450832
Jul 1985;202169;435164;454958
Jun 1985;202713;433651;452361
Mai 1985;193989;425016;442945
Avr 1985;199042;433291;450449
Mar 1985;196389;430680;447063
Fév 1985;192322;427335;442596
Jan 1985;195220;431632;445924
Déc 1984;205654;440886;454207
Nov 1984;189190;414772;426158
Oct 1984;190708;417712;428684
Sep 1984;189122;416066;426623
Aoû 1984;182863;407841;417616
Jul 1984;185846;409947;418937
Jun 1984;187545;408698;416908
Mai 1984;180295;399569;407256
Avr 1984;181915;402886;410045
Mar 1984;178409;399105;405741
Fév 1984;176366;396224;402298
Jan 1984;179173;399942;405458
Déc 1983;187196;406499;411460
Nov 1983;174597;385203;389867
Oct 1983;175026;384539;388918
Sep 1983;170446;376379;380469
Aoû 1983;167181;372627;376420
Jul 1983;173055;377154;380654
Jun 1983;171023;372727;375933
Mai 1983;166878;367908;370899
Avr 1983;165702;368178;370952
Mar 1983;162465;363131;365691
Fév 1983;162929;363265;365671
Jan 1983;164791;364822;367069
Déc 1982;168897;366577;368666
Nov 1982;161460;351001;352992
Oct 1982;164139;354166;356058
Sep 1982;159541;348060;349853
Aoû 1982;156089;342909;344579
Jul 1982;158669;344708;346250
Jun 1982;157619;341746;343166
Mai 1982;153842;335537;336808
Avr 1982;151313;334050;335168
Mar 1982;149786;331764;332737
Fév 1982;149464;328835;329713
Jan 1982;150769;328974;329753
Déc 1981;155306;330217;330901
Nov 1981;147636;315315;315919
Oct 1981;148088;315931;316506
Sep 1981;146333;310933;311474
Aoû 1981;139300;300795;301302
Jul 1981;141766;306676;307168
Jun 1981;141630;305992;306469
Mai 1981;138806;301834;302292
Avr 1981;137391;299874;300325
Mar 1981;134480;295357;295801
Fév 1981;134044;293879;294314
Jan 1981;134767;293873;294306
Déc 1980;140073;296322;296752
Nov 1980;133958;284325;284749
Oct 1980;132666;282021;282443
Sep 1980;130790;278719;279139
Aoû 1980;127483;273797;274215
Jul 1980;129559;274915;275331
Jun 1980;129408;272864;273279
Mai 1980;125616;267605;268017
Avr 1980;125564;267992;268401
Mar 1980;123806;265918;266327
Fév 1980;121539;263286;263692
Jan 1980;123576;264462;264865
Déc 1979;109126;;266371
Nov 1979;99178;;252234
Oct 1979;99522;;250942
Sep 1979;98602;;247639
Aoû 1979;93959;;241583
Jul 1979;97759;;243676
Jun 1979;98382;;242206
Mai 1979;93870;;236462
Avr 1979;93816;;235717
Mar 1979;93368;;234244
Fév 1979;90847;;230695
Jan 1979;92491;;231576
Déc 1978;97326;;229721
Nov 1978;90930;;219537
Oct 1978;89854;;217578
Sep 1978;88239;;214781
Aoû 1978;84043;;209627
Jul 1978;87126;;211984
Jun 1978;86080;;209251
Mai 1978;82432;;203558
Avr 1978;83777;;204631
Mar 1978;82844;;203218
Fév 1978;82375;;200737
Jan 1978;83155;;201019
Déc 1977;89072;;200534
Nov 1977;;;188706
Oct 1977;;;187788
Sep 1977;;;184867
Aoû 1977;;;180452
Jul 1977;;;182813
Jun 1977;;;179238
Mai 1977;;;176124
Avr 1977;;;176052
Mar 1977;;;175232
Fév 1977;;;172412
Jan 1977;;;173432
Déc 1976;;;172126
Nov 1976;;;163769
Oct 1976;;;163223
Sep 1976;;;160486
Aoû 1976;;;157164
Jul 1976;;;159512
Jun 1976;;;157498
Mai 1976;;;153515
Avr 1976;;;153416
Mar 1976;;;151893
Fév 1976;;;149305
Jan 1976;;;149541
Déc 1975;;;148521
Nov 1975;;;139924
Oct 1975;;;138014
Sep 1975;;;134959
Aoû 1975;;;130887
Jul 1975;;;132105
Jun 1975;;;130013
Mai 1975;;;125516
Avr 1975;;;125352
Mar 1975;;;125397
Fév 1975;;;123208
Jan 1975;;;123897
Déc 1974;;;123063
Nov 1974;;;116792
Oct 1974;;;115150
Sep 1974;;;112962
Aoû 1974;;;110359
Jul 1974;;;112157
Jun 1974;;;110114
Mai 1974;;;107134
Avr 1974;;;107464
Mar 1974;;;107359
Fév 1974;;;105129
Jan 1974;;;105794
Déc 1973;;;105804
Nov 1973;;;99475
Oct 1973;;;99256
Sep 1973;;;98097
Aoû 1973;;;95922
Jul 1973;;;96955
Jun 1973;;;95799
Mai 1973;;;93641
Avr 1973;;;93385
Mar 1973;;;92058
Fév 1973;;;90563
Jan 1973;;;91283
Déc 1972;;;91953
Nov 1972;;;88047
Oct 1972;;;86932
Sep 1972;;;86030
Aoû 1972;;;83866
Jul 1972;;;85012
Jun 1972;;;83682
Mai 1972;;;80425
Avr 1972;;;80094
Mar 1972;;;79945
Fév 1972;;;78062
Jan 1972;;;78302
Déc 1971;;;78065
Nov 1971;;;74109
Oct 1971;;;73797
Sep 1971;;;72447
Aoû 1971;;;70906
Jul 1971;;;71963
Jun 1971;;;70820
Mai 1971;;;68900
Avr 1971;;;68542
Mar 1971;;;68130
Fév 1971;;;67037
Jan 1971;;;67188
Déc 1970;;;66559
Nov 1970;;;63317
Oct 1970;;;62697
Sep 1970;;;61341
Aoû 1970;;;60239
Jul 1970;;;60920
Jun 1970;;;60049
Mai 1970;;;58925
Avr 1970;;;59195
Mar 1970;;;58854
Fév 1970;;;58303
Jan 1970;;;58833