Libellé;Dépenses de consommation individualisable des APU - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation collective des APU - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation des ménages - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation des ISBLSM - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation totales - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Demande intérieure finale hors stocks - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation individualisable des APU - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation des APU collectives - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation des ménages - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation des ISBLSM - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation Total - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF Total - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des entreprises financières - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des APU - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des ménages - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des ISBLSM - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des entreprises non-financières - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Variations de stocks - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Variations de stocks et acquisitions moins cessions d'objets de valeur - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Exportations - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Importations - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Solde extérieur - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Comptes trimestriels (base 2010) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF de l'ensemble des secteurs institutionnels - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des sociétés financières - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des administrations publiques - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Demande intérieure totale finale - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Demande intérieure totale finale hors stocks - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des ménages - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;FBCF des ISBLSM - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Investissement des entreprises non financières - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Exportations - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Importations - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation des APU - Total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO
IdBank;001688669;001688689;001688879;001688960;001688968;001688976;001688978;001688979;001688980;001688981;001688982;001688983;001688984;001688985;001688986;001688987;001688988;001688989;001688990;001688991;001688992;001688993;001688994;001688995;001689066;001689174;001689280;001689346;001689348;001689378;001689392;001689585;001689914;001690116;001690224;001712087
Dernière mise à jour;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;14 Novembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;14 Novembre 2014;23 Décembre 2014;23 Décembre 2014;14 Novembre 2014;23 Décembre 2014;23 Décembre 2014;14 Novembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;14 Novembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014;23 Décembre 2014
Mode de représentation;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Valeur absolue;Ratio, taux;Ratio, taux;Ratio, taux;Ratio, taux;Taux d'évolution;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue;Valeur absolue
Correction;Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO);Corrigé des variations saisonnières et des jours ouvrables (CVS-CJO)
Période de référence de l'indice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Périodicité;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle
Date de début;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949;Trimestre 1 de 1949
Date de fin;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014
Zone géographique;France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM);France (France métropolitaine + DOM)
Unité de mesure;Euros;Euros;Euros;Euros;Euros;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;%;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros;Euros
Puissance;6;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;6;6;6;6;6;6;6;6
Traitement des taxes;HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible);HTVAD (Hors TVA Déductible)
