Libellé;;Consommation mensuelle des ménages en biens - Biens - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Produits fabriqués - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Biens durables - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Biens durables d'équipement personnel - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Textile-cuir - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Autres biens fabriqués - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Produits manufacturés - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Équipement du logement - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Automobiles - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Énergie, eau, traitement des déchets - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Produits pétroliers - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Énergie, eau, traitement des déchets, hors produits pétroliers - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO;Consommation mensuelle des ménages en biens - Alimentaire - Volumes aux prix de l'année précédente, chaînés depuis 2010 - Série CVS-CJO
1998;6;34,206;13,488;5,643;0,911;3,663;4,386;28,978;1,061;4,211;7,278;5,193;2,173;14,079
1998;5;34,281;13,514;5,569;0,797;3,817;4,354;29,076;1,025;4,333;7,210;5,186;2,124;14,192
1998;4;34,043;13,306;5,454;0,825;3,706;4,386;28,669;1,009;4,181;7,300;5,094;2,260;14,125
1998;3;33,454;13,180;5,407;0,818;3,634;4,377;28,284;0,989;4,174;7,001;4,958;2,117;13,893
1998;2;33,467;13,111;5,327;0,817;3,674;4,364;28,296;0,972;4,105;7,042;5,009;2,113;13,968
1998;1;33,597;13,165;5,325;0,810;3,781;4,316;28,424;0,983;4,080;7,028;5,015;2,098;14,056
1997;12;33,528;13,142;5,347;0,802;3,716;4,323;28,375;0,973;4,150;6,997;4,967;2,107;14,025
1997;11;32,874;13,005;5,230;0,805;3,720;4,320;27,811;0,977;3,963;6,484;4,415;2,080;13,921
1997;10;33,833;13,080;5,240;0,810;3,767;4,347;28,666;0,941;4,073;7,326;5,343;2,110;14,175
1997;9;32,934;12,654;5,226;0,801;3,378;4,265;27,842;0,931;4,092;6,975;4,961;2,094;14,055
1997;8;32,905;12,573;5,005;0,793;3,590;4,258;27,741;0,923;3,803;7,126;5,061;2,144;14,001
1997;7;32,935;12,757;5,077;0,788;3,704;4,256;27,765;0,915;3,934;7,094;5,043;2,132;13,798
1997;6;32,665;12,539;4,949;0,790;3,632;4,253;27,516;0,907;3,767;6,957;4,935;2,098;13,921
1997;5;32,399;12,371;4,874;0,777;3,598;4,193;27,225;0,886;3,734;6,908;4,841;2,123;13,896
1997;4;32,579;12,507;4,912;0,761;3,679;4,217;27,501;0,877;3,832;6,926;4,959;2,057;13,894
1997;3;32,559;12,615;4,904;0,780;3,798;4,232;27,643;0,864;3,837;6,654;4,821;1,938;13,962
1997;2;32,391;12,473;4,926;0,775;3,626;4,212;27,327;0,860;3,886;6,851;4,850;2,073;13,790
1997;1;32,576;12,182;4,673;0,757;3,669;4,177;27,201;0,858;3,540;7,497;5,256;2,302;13,844
1996;12;32,603;12,348;4,815;0,771;3,643;4,208;27,359;0,860;3,720;7,134;5,025;2,174;13,972
1996;11;32,314;12,119;4,678;0,765;3,586;4,190;27,109;0,846;3,567;7,082;5,022;2,136;14,014
1996;10;32,909;12,686;5,186;0,762;3,568;4,156;27,785;0,840;4,337;6,956;4,958;2,081;13,993
1996;9;34,798;14,091;6,294;0,768;3,649;4,158;29,513;0,841;5,962;7,185;5,120;2,150;13,951
1996;8;33,577;13,189;5,463;0,778;3,726;4,196;28,369;0,870;4,639;7,097;5,092;2,102;13,916
1996;7;32,622;12,492;5,031;0,771;3,536;4,181;27,435;0,841;4,097;7,055;5,017;2,118;13,853
1996;6;33,314;13,030;5,341;0,807;3,713;4,194;28,126;0,839;4,517;6,984;4,946;2,111;13,939
1996;5;32,813;12,470;5,044;0,758;3,504;4,169;27,545;0,839;4,134;7,285;5,186;2,184;13,907
1996;4;32,569;12,462;4,900;0,754;3,686;4,177;27,508;0,812;4,007;6,961;4,981;2,070;13,916
1996;3;32,905;12,577;5,049;0,779;3,597;4,193;27,711;0,842;4,109;7,213;5,145;2,156;13,922
1996;2;33,395;12,731;5,197;0,773;3,610;4,149;27,958;0,839;4,343;7,488;5,238;2,306;14,030
1996;1;33,035;12,812;5,296;0,769;3,529;4,192;27,964;0,831;4,518;6,941;5,014;2,033;13,968
1995;12;32,498;12,200;4,758;0,754;3,578;4,182;27,336;0,821;3,767;7,298;5,307;2,115;13,927
1995;11;32,702;12,497;4,843;0,774;3,767;4,218;27,608;0,831;3,839;6,967;4,996;2,065;14,015
1995;10;31,626;11,992;4,757;0,770;3,361;4,160;26,849;0,829;3,722;6,468;4,687;1,885;13,931
1995;9;32,380;12,255;4,690;0,761;3,723;4,194;27,258;0,825;3,642;6,978;4,968;2,092;13,985
1995;8;32,165;12,210;4,714;0,764;3,674;4,156;27,090;0,803;3,744;6,878;4,874;2,077;13,885
1995;7;32,378;12,177;4,696;0,765;3,631;4,188;27,290;0,808;3,700;7,057;5,083;2,077;14,030
1995;6;34,454;13,819;6,051;0,765;3,644;4,183;29,309;0,797;5,760;7,128;5,140;2,093;13,983
1995;5;32,576;12,436;4,853;0,755;3,716;4,182;27,481;0,800;3,971;6,990;4,998;2,081;13,938
1995;4;32,513;12,333;4,834;0,759;3,634;4,170;27,371;0,789;3,971;7,102;5,079;2,114;13,919
1995;3;32,285;12,193;4,763;0,752;3,571;4,173;27,170;0,797;3,848;7,117;5,134;2,089;13,844
1995;2;32,211;12,436;4,879;0,748;3,679;4,183;27,375;0,793;4,039;6,547;4,779;1,885;13,893
1995;1;32,448;12,368;4,831;0,754;3,675;4,174;27,343;0,772;4,022;7,022;5,036;2,081;13,860
1994;12;32,141;12,435;4,925;0,740;3,679;4,112;27,223;0,778;4,162;6,697;4,861;1,947;13,675
1994;11;32,109;12,420;4,943;0,745;3,601;4,150;27,327;0,775;4,194;6,512;4,788;1,852;13,820
1994;10;32,261;12,338;4,859;0,743;3,635;4,138;27,308;0,766;4,094;6,893;5,002;2,004;13,796
1994;9;32,612;12,490;4,835;0,752;3,863;4,115;27,535;0,769;4,037;7,064;5,091;2,077;13,836
1994;8;32,429;12,406;4,877;0,749;3,717;4,106;27,412;0,765;4,117;6,933;5,017;2,026;13,858
1994;7;31,979;12,118;4,680;0,736;3,647;4,121;26,974;0,731;3,942;6,873;4,932;2,035;13,809
1994;6;32,177;12,265;4,774;0,734;3,688;4,118;27,169;0,758;4,002;6,965;5,049;2,028;13,744
1994;5;32,105;12,252;4,816;0,742;3,630;4,100;27,133;0,744;4,100;6,841;4,953;1,997;13,786
1994;4;32,555;12,364;4,902;0,738;3,623;4,117;27,306;0,733;4,266;7,287;5,191;2,183;13,766
1994;3;31,942;12,305;4,703;0,740;3,827;4,124;27,180;0,722;3,999;6,525;4,849;1,822;13,785
1994;2;31,857;12,154;4,608;0,753;3,749;4,164;26,909;0,724;3,837;6,851;4,981;1,985;13,629
1994;1;31,708;12,055;4,512;0,750;3,771;4,162;26,782;0,737;3,654;6,829;4,984;1,967;13,621
1993;12;31,691;11,972;4,485;0,745;3,739;4,133;26,799;0,727;3,650;6,700;4,855;1,954;13,836
1993;11;32,414;12,011;4,464;0,708;3,804;4,143;27,116;0,705;3,731;7,596;5,493;2,222;13,869
1993;10;32,269;12,202;4,584;0,743;3,860;4,138;27,153;0,720;3,825;7,125;5,141;2,091;13,811
1993;9;31,910;12,133;4,520;0,737;3,878;4,129;26,933;0,715;3,752;6,840;4,941;2,004;13,731
1993;8;31,793;12,029;4,476;0,733;3,819;4,130;26,828;0,710;3,705;6,829;4,967;1,978;13,760
1993;7;31,969;12,138;4,588;0,763;3,791;4,129;27,064;0,728;3,783;6,873;5,082;1,936;13,766
1993;6;32,190;12,160;4,545;0,816;3,870;4,134;27,280;0,716;3,689;7,097;5,315;1,954;13,804
1993;5;31,673;11,970;4,403;0,702;3,854;4,130;26,803;0,706;3,642;6,842;5,021;1,953;13,694
1993;4;31,916;12,137;4,476;0,746;3,880;4,201;27,085;0,714;3,675;6,831;5,061;1,917;13,740
1993;3;31,772;11,977;4,428;0,720;3,858;4,097;26,843;0,708;3,651;7,060;5,185;2,012;13,615
1993;2;31,659;11,974;4,438;0,739;3,820;4,118;26,702;0,707;3,648;7,083;5,206;2,016;13,466
1993;1;31,378;11,779;4,268;0,738;3,862;4,088;26,600;0,706;3,390;6,779;5,058;1,879;13,688
1992;12;32,837;12,855;5,181;0,728;3,770;4,140;27,943;0,709;4,804;6,851;5,075;1,922;13,733
1992;11;31,860;12,159;4,660;0,730;3,751;4,087;26,975;0,704;4,006;6,845;5,051;1,935;13,627
1992;10;32,519;12,407;4,687;0,727;3,963;4,125;27,325;0,709;4,036;7,307;5,283;2,142;13,637
1992;9;32,204;12,348;4,682;0,730;3,893;4,136;27,292;0,703;4,046;6,914;5,104;1,953;13,691
1992;8;32,243;12,363;4,699;0,724;3,921;4,098;27,292;0,704;4,075;6,916;5,081;1,970;13,714
1992;7;32,142;12,359;4,703;0,740;3,904;4,105;27,222;0,704;4,063;6,918;5,108;1,953;13,597
1992;6;31,984;12,286;4,726;0,745;3,779;4,115;27,113;0,703;4,097;6,834;5,009;1,955;13,594
1992;5;32,056;12,379;4,691;0,735;3,931;4,120;27,197;0,695;4,079;6,821;5,005;1,947;13,550
1992;4;32,013;12,187;4,563;0,722;3,885;4,127;27,071;0,702;3,874;7,087;5,224;2,006;13,558
1992;3;31,783;12,194;4,611;0,714;3,823;4,129;26,933;0,697;3,976;6,918;5,104;1,955;13,419
1992;2;32,423;12,485;4,776;0,726;3,938;4,115;27,542;0,714;4,160;7,015;5,210;1,959;13,657
1992;1;32,326;12,370;4,710;0,709;3,885;4,130;27,321;0,698;4,133;7,162;5,246;2,052;13,588
1991;12;32,418;12,390;4,640;0,709;3,991;4,148;27,429;0,699;4,017;7,103;5,233;2,013;13,719
1991;11;32,068;12,314;4,634;0,686;3,898;4,163;27,214;0,700;4,036;7,007;5,212;1,950;13,501
1991;10;32,126;12,251;4,532;0,711;4,000;4,132;27,191;0,698;3,847;7,079;5,258;1,976;13,602
1991;9;31,998;12,287;4,739;0,714;3,711;4,168;27,188;0,700;4,165;6,736;5,029;1,862;13,695
1991;8;32,014;12,261;4,672;0,711;3,794;4,149;27,190;0,707;4,039;6,908;5,192;1,885;13,604
1991;7;32,486;12,637;4,771;0,710;4,066;4,175;27,626;0,710;4,187;6,941;5,214;1,895;13,566
1991;6;32,146;12,570;4,736;0,713;4,061;4,149;27,297;0,715;4,110;6,780;5,060;1,876;13,403
1991;5;32,401;12,362;4,712;0,699;3,880;4,120;27,306;0,723;4,061;7,289;5,397;2,047;13,580
1991;4;31,946;12,447;4,696;0,689;4,058;4,058;27,110;0,708;4,103;6,754;5,002;1,896;13,373
1991;3;32,102;12,689;4,759;0,687;4,207;4,104;27,446;0,721;4,159;6,303;4,705;1,743;13,585
1991;2;32,061;12,402;4,640;0,678;4,060;4,086;27,032;0,703;4,044;6,923;4,961;2,063;13,432
1991;1;31,897;12,185;4,708;0,684;3,707;4,092;27,069;0,696;4,170;6,915;5,236;1,859;13,572
1990;12;32,461;12,622;4,791;0,695;4,077;4,114;27,486;0,711;4,232;6,945;5,112;1,970;13,560
1990;11;31,944;12,474;4,744;0,675;3,984;4,100;27,131;0,716;4,165;6,562;4,844;1,852;13,498
1990;10;31,752;12,444;4,809;0,663;3,857;4,096;27,072;0,707;4,316;6,278;4,609;1,789;13,561
1990;9;31,975;12,573;4,841;0,659;3,997;4,058;27,233;0,698;4,405;6,509;4,847;1,807;13,429
1990;8;32,406;12,626;4,922;0,666;3,932;4,066;27,623;0,697;4,531;6,957;5,313;1,839;13,478
1990;7;32,087;12,499;4,779;0,645;4,000;4,058;27,293;0,681;4,387;6,670;5,001;1,829;13,538
1990;6;32,183;12,598;4,929;0,643;3,909;4,043;27,434;0,720;4,491;6,708;5,027;1,840;13,469
1990;5;32,105;12,771;4,935;0,651;4,095;4,053;27,499;0,700;4,558;6,409;4,854;1,723;13,368
1990;4;32,144;12,502;4,807;0,652;3,978;4,041;27,311;0,713;4,309;6,888;5,168;1,886;13,412
1990;3;32,130;12,729;4,897;0,656;4,134;4,017;27,535;0,685;4,545;6,436;4,918;1,699;13,439
1990;2;31,802;12,702;4,912;0,628;4,092;4,004;27,399;0,694;4,575;6,078;4,706;1,561;13,398
1990;1;31,758;12,412;4,871;0,624;3,834;3,979;27,110;0,694;4,513;6,623;5,041;1,763;13,318
1989;12;31,575;12,395;4,859;0,639;3,849;3,959;26,957;0,688;4,493;6,438;4,869;1,734;13,283
1989;11;31,981;12,550;4,844;0,648;4,063;3,950;27,318;0,696;4,431;6,544;4,967;1,751;13,440
1989;10;31,621;12,456;4,861;0,634;3,900;3,978;27,039;0,679;4,540;6,476;4,958;1,705;13,211
1989;9;31,504;12,288;4,819;0,632;3,789;3,950;26,877;0,678;4,478;6,572;5,009;1,745;13,248
1989;8;31,487;12,383;4,798;0,623;3,931;3,953;26,856;0,683;4,438;6,442;4,882;1,729;13,191
1989;7;31,167;12,086;4,683;0,605;3,779;3,920;26,521;0,668;4,332;6,483;4,867;1,770;13,232
1989;6;31,126;12,062;4,595;0,603;3,865;3,939;26,485;0,656;4,235;6,507;4,933;1,745;13,200
1989;5;31,072;12,069;4,532;0,595;4,003;3,899;26,474;0,640;4,203;6,390;4,850;1,710;13,224
1989;4;31,243;12,121;4,683;0,602;3,812;3,930;26,506;0,656;4,379;6,549;4,936;1,775;13,212
1989;3;31,291;12,211;4,595;0,606;4,100;3,875;26,836;0,655;4,233;6,326;4,954;1,591;13,323
1989;2;30,995;12,062;4,625;0,595;3,916;3,834;26,497;0,653;4,306;6,359;4,922;1,638;13,169
1989;1;31,056;12,138;4,636;0,590;3,959;3,866;26,481;0,652;4,332;6,398;4,892;1,688;13,092
1988;12;30,810;12,114;4,812;0,569;3,711;3,814;26,295;0,644;4,678;6,241;4,721;1,681;12,969
1988;11;30,959;11,846;4,545;0,563;3,802;3,805;26,312;0,645;4,251;6,747;5,198;1,753;13,123
1988;10;30,413;11,745;4,427;0,565;3,867;3,799;25,814;0,640;4,072;6,442;4,867;1,740;12,887
1988;9;30,607;11,750;4,443;0,570;3,870;3,777;25,998;0,663;4,005;6,540;4,964;1,750;13,028
1988;8;30,555;11,796;4,412;0,571;3,981;3,766;25,977;0,639;4,043;6,400;4,853;1,716;13,016
1988;7;30,218;11,633;4,431;0,567;3,785;3,736;25,667;0,640;4,075;6,340;4,817;1,693;12,914
1988;6;29,925;11,370;4,145;0,559;3,904;3,736;25,395;0,636;3,634;6,327;4,823;1,679;12,980
1988;5;30,027;11,521;4,316;0,563;3,841;3,718;25,488;0,628;3,939;6,302;4,793;1,679;12,891
1988;4;29,902;11,491;4,270;0,557;3,871;3,722;25,431;0,615;3,920;6,226;4,779;1,630;12,853
1988;3;30,110;11,420;4,302;0,552;3,764;3,693;25,502;0,625;3,942;6,535;4,986;1,731;12,944
1988;2;29,905;11,280;4,131;0,549;3,894;3,653;25,376;0,610;3,723;6,496;5,016;1,680;12,948
1988;1;29,664;11,467;4,293;0,551;3,857;3,670;25,322;0,619;3,951;5,988;4,629;1,546;12,809
1987;12;30,145;11,590;4,306;0,550;3,997;3,653;25,626;0,608;4,015;6,477;4,989;1,681;12,781
1987;11;30,071;11,613;4,287;0,540;4,081;3,625;25,573;0,612;3,983;6,391;4,923;1,659;12,734
1987;10;30,227;11,767;4,493;0,538;3,974;3,598;25,708;0,602;4,360;6,375;4,867;1,686;12,702
1987;9;29,130;10,970;4,084;0,542;3,619;3,620;24,666;0,604;3,677;6,268;4,779;1,662;12,696
1987;8;29,427;11,091;4,103;0,519;3,786;3,567;24,921;0,578;3,838;6,483;4,960;1,708;12,672
1987;7;29,908;11,357;4,161;0,540;4,028;3,559;25,356;0,588;3,865;6,638;5,139;1,705;12,705
1987;6;29,602;11,216;4,087;0,546;3,936;3,597;25,045;0,583;3,754;6,570;5,036;1,723;12,613
1987;5;29,462;11,041;4,103;0,546;3,761;3,530;24,804;0,582;3,785;6,609;4,965;1,806;12,676
1987;4;29,522;11,410;4,109;0,547;4,196;3,535;25,193;0,567;3,851;6,210;4,806;1,596;12,547
1987;3;29,136;10,994;4,047;0,531;3,822;3,497;24,536;0,563;3,785;6,619;5,016;1,777;12,345
1987;2;28,991;11,047;4,054;0,542;3,868;3,504;24,499;0,567;3,765;6,382;4,824;1,722;12,305
1987;1;29,135;10,710;3,738;0,501;3,985;3,465;24,281;0,533;3,431;6,838;5,014;1,957;12,580
1986;12;29,335;11,175;3,982;0,530;4,155;3,485;24,898;0,556;3,711;6,502;5,042;1,659;12,428
1986;11;28,697;10,960;3,952;0,538;3,957;3,466;24,397;0,572;3,586;6,107;4,718;1,573;12,383
1986;10;28,409;10,792;3,916;0,543;3,826;3,445;24,112;0,554;3,589;6,009;4,594;1,588;12,386
1986;9;28,962;10,950;3,846;0,525;4,123;3,453;24,472;0,548;3,521;6,351;4,826;1,702;12,468
1986;8;29,173;10,951;3,894;0,536;4,067;3,434;24,847;0,552;3,571;6,720;5,352;1,598;12,339
1986;7;28,425;10,545;3,798;0,543;3,728;3,425;24,028;0,541;3,441;6,513;5,081;1,636;12,249
1986;6;28,546;10,810;3,834;0,528;3,961;3,463;24,154;0,539;3,533;6,325;4,851;1,658;12,194
1986;5;28,880;11,139;3,912;0,534;4,277;3,426;24,543;0,565;3,554;6,071;4,632;1,612;12,375
1986;4;29,153;10,712;3,850;0,530;3,862;3,412;24,302;0,566;3,449;7,172;5,411;1,954;12,202
1986;3;28,203;10,645;3,719;0,532;3,968;3,432;23,880;0,539;3,332;6,247;4,850;1,589;12,104
1986;2;28,507;10,448;3,673;0,518;3,871;3,356;23,838;0,538;3,280;6,906;5,268;1,834;12,085
1986;1;27,907;10,423;3,719;0,525;3,746;3,379;23,573;0,532;3,369;6,217;4,777;1,623;12,106
1985;12;27,492;10,247;3,589;0,531;3,748;3,360;23,240;0,531;3,145;6,017;4,622;1,570;12,067
1985;11;28,672;10,727;3,675;0,512;4,217;3,355;24,122;0,524;3,349;6,668;5,126;1,738;12,122
1985;10;27,878;10,425;3,642;0,522;3,897;3,349;23,691;0,520;3,292;6,178;4,899;1,493;12,105
1985;9;27,609;10,116;3,646;0,527;3,513;3,338;23,391;0,510;3,334;6,391;5,035;1,569;12,024
1985;8;27,569;10,329;3,606;0,526;3,843;3,340;23,358;0,518;3,237;6,075;4,712;1,551;11,979
1985;7;27,710;10,430;3,647;0,523;3,923;3,319;23,487;0,515;3,319;6,147;4,762;1,572;11,926
1985;6;27,646;10,389;3,697;0,558;3,799;3,311;23,429;0,509;3,379;6,032;4,651;1,560;12,026
1985;5;27,581;10,227;3,588;0,499;3,786;3,297;23,252;0,505;3,298;6,250;4,768;1,657;11,967
1985;4;27,377;10,228;3,513;0,511;3,921;3,285;23,224;0,500;3,175;5,959;4,643;1,504;12,014
1985;3;27,469;10,208;3,592;0,518;3,753;3,301;23,209;0,496;3,311;6,073;4,652;1,596;12,039
1985;2;27,519;10,211;3,573;0,510;3,802;3,286;23,373;0,496;3,294;6,079;4,790;1,492;12,091
1985;1;27,664;9,871;3,350;0,456;3,762;3,262;23,019;0,467;3,112;6,822;5,155;1,847;12,021
1984;12;27,275;10,144;3,477;0,507;3,889;3,271;23,093;0,488;3,168;5,956;4,616;1,523;12,018
1984;11;26,600;9,964;3,447;0,505;3,728;3,253;22,603;0,478;3,159;5,687;4,466;1,408;11,736
1984;10;27,192;10,032;3,446;0,490;3,822;3,247;23,012;0,482;3,161;6,090;4,786;1,505;11,949
1984;9;27,615;10,345;3,512;0,503;4,119;3,242;23,375;0,491;3,220;6,202;4,883;1,526;11,882
1984;8;27,679;10,463;3,692;0,506;3,926;3,283;23,530;0,495;3,508;6,013;4,744;1,471;11,974
1984;7;26,953;9,952;3,417;0,484;3,774;3,242;22,807;0,493;3,075;5,917;4,640;1,470;11,953
1984;6;27,623;10,196;3,561;0,508;3,860;3,227;23,460;0,503;3,247;6,322;5,079;1,475;11,992
1984;5;27,294;10,102;3,574;0,506;3,711;3,232;23,033;0,514;3,228;6,171;4,798;1,565;11,886
1984;4;27,507;10,327;3,533;0,504;4,071;3,231;23,394;0,497;3,231;6,034;4,728;1,502;11,948
1984;3;27,232;10,121;3,529;0,493;3,816;3,228;23,105;0,508;3,192;6,082;4,780;1,503;11,872
1984;2;27,258;10,090;3,474;0,501;3,868;3,228;23,192;0,503;3,106;6,144;4,894;1,466;11,888
1984;1;27,315;10,293;3,544;0,502;4,013;3,226;23,258;0,519;3,162;6,010;4,745;1,468;11,788
1983;12;27,193;10,340;3,666;0,483;3,881;3,214;23,151;0,507;3,444;5,923;4,653;1,466;11,659
1983;11;27,500;10,477;3,772;0,501;3,902;3,189;23,514;0,508;3,597;6,038;4,843;1,414;11,711
1983;10;27,082;10,288;3,633;0,491;3,875;3,209;23,121;0,510;3,365;5,911;4,703;1,415;11,614
1983;9;27,142;10,362;3,658;0,505;3,941;3,196;23,219;0,519;3,352;5,860;4,698;1,374;11,627
1983;8;27,212;10,343;3,725;0,504;3,807;3,191;23,293;0,524;3,445;5,952;4,788;1,382;11,649
1983;7;26,966;10,296;3,660;0,494;3,862;3,188;23,060;0,504;3,430;5,704;4,532;1,371;11,669
1983;6;27,297;10,559;3,701;0,487;4,146;3,175;23,439;0,508;3,496;5,732;4,618;1,327;11,649
1983;5;27,276;10,405;3,680;0,509;3,950;3,205;23,282;0,515;3,399;5,977;4,743;1,441;11,608
1983;4;27,360;10,432;3,757;0,508;3,865;3,193;23,340;0,524;3,494;6,170;4,936;1,456;11,473
1983;3;27,525;10,601;3,727;0,534;4,137;3,193;23,696;0,532;3,372;5,838;4,769;1,297;11,757
1983;2;27,274;10,495;3,733;0,522;3,954;3,228;23,342;0,535;3,388;5,906;4,736;1,384;11,542
1983;1;27,201;10,627;3,789;0,546;4,034;3,222;23,372;0,529;3,472;5,570;4,446;1,322;11,596
1982;12;27,485;10,796;3,931;0,562;4,019;3,214;23,610;0,546;3,623;5,598;4,453;1,342;11,650
1982;11;27,264;10,641;3,919;0,536;3,827;3,223;23,435;0,545;3,645;5,548;4,426;1,319;11,666
1982;10;27,905;10,904;3,964;0,570;4,109;3,208;23,980;0,592;3,472;5,884;4,733;1,368;11,716
1982;9;26,961;10,344;3,842;0,561;3,603;3,192;23,139;0,549;3,456;5,725;4,617;1,321;11,575
1982;8;27,324;10,696;3,790;0,559;4,164;3,184;23,483;0,544;3,392;5,717;4,603;1,325;11,487
1982;7;27,352;10,395;3,748;0,574;3,850;3,177;23,521;0,546;3,290;6,104;5,033;1,317;11,602
1982;6;27,374;10,803;3,942;0,628;4,030;3,193;23,584;0,587;3,366;5,708;4,634;1,292;11,394
1982;5;26,996;10,485;3,697;0,535;4,073;3,160;23,172;0,552;3,234;5,758;4,636;1,334;11,369
1982;4;27,072;10,389;3,705;0,558;3,929;3,165;23,262;0,541;3,257;5,803;4,738;1,291;11,565
1982;3;27,199;10,637;3,866;0,543;3,990;3,148;23,396;0,539;3,570;5,813;4,729;1,307;11,329
1982;2;26,579;10,484;3,716;0,539;4,060;3,140;22,975;0,539;3,312;5,352;4,400;1,166;11,259
1982;1;26,519;10,224;3,641;0,524;3,865;3,125;22,766;0,514;3,317;5,461;4,383;1,277;11,478
1981;12;26,704;10,082;3,534;0,516;3,880;3,111;22,910;0,521;3,111;5,960;4,885;1,313;11,434
1981;11;26,515;10,021;3,485;0,526;3,897;3,099;22,702;0,523;3,003;5,858;4,726;1,349;11,392
1981;10;26,422;10,160;3,546;0,527;3,972;3,099;22,655;0,526;3,093;5,622;4,510;1,314;11,284
1981;9;26,031;9,968;3,451;0,509;3,903;3,084;22,294;0,508;3,035;5,449;4,324;1,310;11,269
1981;8;25,901;9,799;3,435;0,509;3,721;3,074;22,143;0,508;3,006;5,517;4,363;1,339;11,309
1981;7;26,366;9,881;3,399;0,523;3,893;3,071;22,622;0,534;2,809;6,003;4,935;1,311;11,291
1981;6;26,466;9,921;3,526;0,539;3,748;3,047;22,736;0,515;3,088;6,103;5,045;1,312;11,256
1981;5;26,275;9,869;3,513;0,521;3,724;3,025;22,533;0,509;3,124;5,942;4,822;1,346;11,257
1981;4;25,673;9,699;3,344;0,471;3,789;3,034;22,088;0,489;2,989;5,304;4,262;1,235;11,389
1981;3;25,451;9,692;3,338;0,483;3,799;3,024;21,950;0,496;2,930;5,337;4,351;1,193;11,094
1981;2;25,360;9,551;3,286;0,482;3,702;3,028;21,768;0,496;2,842;5,365;4,333;1,232;11,177
1981;1;26,022;9,615;3,286;0,478;3,789;3,025;22,359;0,494;2,854;6,000;4,986;1,269;11,287
1980;12;25,760;9,513;3,260;0,485;3,699;3,026;22,083;0,483;2,842;5,866;4,818;1,285;11,256
1980;11;25,632;9,580;3,252;0,490;3,803;3,019;21,966;0,491;2,785;5,734;4,676;1,280;11,113
1980;10;25,721;9,553;3,295;0,471;3,693;3,026;22,052;0,491;2,886;5,852;4,814;1,276;11,159
1980;9;25,728;9,543;3,333;0,496;3,607;3,033;22,058;0,493;2,910;5,842;4,808;1,272;11,193
1980;8;25,698;9,679;3,347;0,492;3,770;3,020;22,036;0,486;2,967;5,681;4,634;1,268;11,085
1980;7;25,566;9,728;3,385;0,506;3,767;3,021;21,917;0,498;2,964;5,552;4,496;1,264;10,961
1980;6;25,634;9,320;3,198;0,494;3,588;2,995;21,979;0,484;2,719;6,211;5,237;1,260;11,110
1980;5;25,352;9,370;3,161;0,498;3,705;3,005;21,701;0,481;2,664;5,692;4,661;1,256;11,134
1980;4;25,868;9,784;3,529;0,508;3,611;3,004;22,210;0,480;3,291;5,769;4,753;1,253;11,052
1980;3;25,709;9,636;3,398;0,525;3,622;3,027;22,053;0,484;3,023;5,689;4,668;1,249;11,156
1980;2;26,151;9,836;3,447;0,582;3,758;3,066;22,483;0,482;3,044;5,806;4,803;1,246;11,279
1980;1;25,924;9,873;3,471;0,615;3,741;3,090;22,272;0,494;2,991;5,676;4,662;1,243;11,062
