Libellé;Indice des taux de salaire horaire des ouvriers par activité - Ensemble des secteurs non agricoles - NAF rév. 2 - Poste ENS - Base 100 4ème trim 2008;Indice des taux de salaire horaire des ouvriers par activité - Industries de transformation, non compris la construction - NAF rév. 2 - Postes DE à C5 du niveau A17 - Base 100 4ème trim 2008;Indice des taux de salaire horaire des ouvriers par activité - Industries mécaniques et électriques (IME) - NAF rév. 2 - Postes  25-26-27-28-29-30-33 du niveau A88 - Base 100 4ème trim 2008;Indice des taux de salaire horaire des ouvriers par activité - Construction - NAF rév. 2 - Poste FZ du niveau A17 - Base 100 4ème trim 2008;Indice des taux de salaire horaire des ouvriers par activité - Tertiaire - NAF rév. 2 - Postes GZ à RU du niveau A17 - Base 100 4ème trim 2008;Indice des salaires mensuels de base par activité - Ensemble des secteurs non agricoles - NAF rév. 2 - Poste ENS - Base 100 4ème trim 2008;Indice des salaires mensuels de base par activité - Industries de transformation, non compris la construction - NAF rév. 2 - Postes DE à C5 du niveau A17 - Base 100 4ème trim 2008;Indice des salaires mensuels de base par activité - Industries mécaniques et électriques (IME) - NAF rév. 2 - Postes  25-26-27-28-29-30-33 du niveau A88 - Base 100 4ème trim 2008;Indice des salaires mensuels de base par activité - Construction - NAF rév. 2 - Poste FZ du niveau A17 - Base 100 4ème trim 2008;Indice des salaires mensuels de base par activité - Tertiaire - NAF rév. 2 - Postes GZ à RU du niveau A17 - Base 100 4ème trim 2008;Glissement annuel de l'indice des salaires mensuels de base par activité - Ensemble des secteurs non agricoles - NAF rév. 2 - Poste ENS;Indice des taux de salaire horaire des ouvriers et des employés par activité - Ensemble des secteurs non agricoles - NAF rév. 2 - Poste ENS - Base 100 4ème trim 2008;Indice des taux de salaire horaire des ouvriers et des employés par activité - Industries de transformation, non compris la construction - NAF rév. 2 - Postes DE à C5 du niveau A17 - Base 100 4ème trim 2008;Indice des taux de salaire horaire des ouvriers et des employés par activité - Construction - NAF rév. 2 - Poste FZ du niveau A17 - Base 100 4ème trim 2008;Indice des taux de salaire horaire des ouvriers et des employés par activité - Tertiaire - NAF rév. 2 - Postes GZ à RU du niveau A17 - Base 100 4ème trim 2008;Indice des taux de salaire horaire des ouvriers et des employés par activité - Industries mécaniques et électriques (IME) - NAF rév. 2 - Postes  25-26-27-28-29-30-33 du niveau A88 - Base 100 4ème trim 2008
IdBank;001567407;001567408;001567409;001567410;001567411;001567453;001567454;001567455;001567456;001567457;001643152;001657369;001657370;001657371;001657372;001657375
Dernière mise à jour;12 Décembre 2014;12 Décembre 2014;12 Décembre 2014;12 Décembre 2014;12 Décembre 2014;12 Décembre 2014;12 Décembre 2014;12 Décembre 2014;12 Décembre 2014;12 Décembre 2014;12 Décembre 2014;12 Décembre 2014;12 Décembre 2014;12 Décembre 2014;12 Décembre 2014;12 Décembre 2014
Mode de représentation;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Indice;Taux d'évolution;Indice;Indice;Indice;Indice;Indice
Correction;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé;Non corrigé
Période de référence de l'indice;100 = 4ème trimestre 2008;100 = 4ème trimestre 2008;100 = 4ème trimestre 2008;100 = 4ème trimestre 2008;100 = 4ème trimestre 2008;100 = 4ème trimestre 2008;100 = 4ème trimestre 2008;100 = 4ème trimestre 2008;100 = 4ème trimestre 2008;100 = 4ème trimestre 2008;;100 = 4ème trimestre 2008;100 = 4ème trimestre 2008;100 = 4ème trimestre 2008;100 = 4ème trimestre 2008;100 = 4ème trimestre 2008
Périodicité;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle;Trimestrielle
Date de début;Trimestre 4 de 1998;Trimestre 4 de 1998;Trimestre 4 de 1998;Trimestre 4 de 1998;Trimestre 4 de 1998;Trimestre 4 de 1998;Trimestre 4 de 1998;Trimestre 4 de 1998;Trimestre 4 de 1998;Trimestre 4 de 1998;Trimestre 4 de 1998;Trimestre 4 de 2008;Trimestre 4 de 2008;Trimestre 4 de 2008;Trimestre 4 de 2008;Trimestre 4 de 2008
Date de fin;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014;Trimestre 3 de 2014
Zone géographique;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine;France Métropolitaine
Unité de mesure;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;%;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet
Puissance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Traitement des taxes;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet
