Libellé;;Taux moyen pondéré des taux au jour le jour - Moyenne mensuelle - Taux d'intérêt - Série arrêtée;Taux annuel monétaire - Capitalisation des taux au jour le jour - Taux d'intérêt - Série arrêtée;Valeurs à revenus variables avec avoir fiscal - Fin de mois - Taux d'intérêt - Série arrêtée;TMO - Obligations de 1ere catégorie, taux au règlement - Moyenne mensuelle - Taux d'intérêt - Série arrêtée;TMO - Obligations de 2eme catégorie, taux au règlement - Moyenne mensuelle - Taux d'intérêt - Série arrêtée;TME - Taux de rendement des emprunts d'État - Long terme - Moyenne mensuelle - Taux d'intérêt - Série arrêtée;TME - Taux de rendement des emprunts d'État - Long terme - Fin de mois - Taux d'intérêt - Série arrêtée;Obligations de 1ere catégorie, taux de rendement en bourse - Taux d'intérêt - Série arrêtée;Obligations de 2eme catégorie, taux de rendement en bourse - Taux d'intérêt - Série arrêtée;Bons du Trésor à 13 semaines - Moyenne mensuelle pondérée - Taux d'intérêt - Série arrêtée;Taux de base bancaire - Fin de mois - Taux d'intérêt - Série arrêtée
IdBank;;000603912;000603916;000603937;000603938;000603939;000603940;000603941;000603944;000603947;000603959;000603988
Année;Mois
2007;11;40 275;39 573;;452;;432;429;449;449;405;
2007;10;39 285;38 969;;466;466;446;432;452;452;400;
2007;9;40 171;38 391;;461;461;441;454;474;474;408;
2007;8;40 429;37 549;;465;465;445;439;459;459;415;
2007;7;40 661;36 591;;487;487;467;453;473;473;417;
2007;6;39 570;35 480;;490;490;465;469;489;489;412;
2007;5;37 935;34 394;;459;459;437;444;464;464;405;
2007;4;38 230;33 310;;444;444;424;430;450;450;397;
2007;3;36 948;32 286;;425;425;405;415;435;435;392;
2007;2;35 668;31 245;;434;434;414;414;434;434;383;
2007;1;35 658;30 273;;430;430;410;411;431;431;371;
2006;12;35 155;29 174;;409;409;387;403;423;423;358;
2006;11;33 283;28 068;;401;401;381;380;400;400;349;
2006;10;32 806;27 007;;408;408;388;395;415;415;336;
2006;9;30 407;25 941;;404;404;384;375;395;395;326;
2006;8;29 668;25 131;;414;414;396;390;410;410;314;
2006;7;28 165;24 338;;429;429;409;401;421;421;298;
2006;6;26 943;23 684;;426;426;406;415;435;435;283;
2006;5;25 723;23 148;;427;427;407;395;415;415;273;
2006;4;26 303;22 707;;421;421;401;408;428;428;262;
2006;3;25 206;22 233;;392;392;372;384;404;404;260;
2006;2;23 518;21 825;;376;376;356;351;371;371;252;
2006;1;23 232;21 592;;360;360;340;350;370;370;244;
2005;12;22 632;21 378;;363;363;343;337;357;357;238;
2005;11;20 870;21 186;;374;374;354;350;370;370;228;
2005;10;20 713;21 185;;355;355;335;344;364;364;210;
2005;9;20 910;21 221;;337;337;317;320;340;340;205;
2005;8;20 665;21 184;;354;354;334;323;343;343;204;
2005;7;20 732;21 156;;350;350;328;329;349;349;204;
2005;6;20 637;21 145;;347;347;329;322;342;342;204;
2005;5;20 706;21 121;;362;362;342;336;356;356;204;
2005;4;20 733;21 067;;378;378;361;350;370;370;206;
2005;3;20 565;21 058;;399;399;381;380;400;400;237;
2005;2;20 582;21 007;;384;384;364;380;400;400;206;
2005;1;20 794;21 045;;386;386;366;365;385;385;207;
2004;12;20 442;20 997;267;390;390;370;376;396;396;209;
2004;11;20 857;21 007;273;414;414;390;383;403;403;210;
2004;10;21 129;20 896;277;422;422;403;399;419;419;208;
2004;9;20 467;20 817;282;432;432;413;405;425;425;207;
2004;8;20 345;20 799;268;440;440;420;417;437;437;206;
2004;7;20 610;20 872;274;457;457;435;433;453;453;206;
2004;6;20 350;20 889;276;466;466;441;442;436;436;205;
2004;5;20 097;21 038;265;460;460;441;436;430;432;204;
2004;4;20 620;21 503;253;442;442;423;432;435;430;200;
2004;3;19 984;21 932;242;424;424;401;389;396;391;197;
2004;2;20 334;22 600;237;443;443;424;415;414;414;203;
2004;1;20 248;23 108;243;448;448;422;422;436;432;205;
2003;12;20 558;23 807;252;460;460;436;432;438;437;208;660
2003;11;19 553;24 723;259;469;469;448;440;454;458;208;660
2003;10;20 226;25 884;263;452;452;434;442;446;451;208;660
2003;9;20 253;27 009;270;449;449;424;408;417;345;208;660
2003;8;21 181;28 112;259;447;447;424;424;432;369;209;660
2003;7;20 800;29 151;276;427;427;405;407;410;350;207;660
2003;6;22 103;30 229;318;397;397;375;399;393;330;207;660
2003;5;25 397;31 223;339;419;419;397;370;388;329;232;660
2003;4;25 677;31 905;332;446;446;425;428;449;361;246;660
2003;3;27 577;32 543;377;434;434;417;423;455;368;244;660
2003;2;27 461;33 006;368;427;427;407;407;433;350;267;660
2003;1;28 197;33 436;342;453;453;427;414;441;364;279;660
2002;12;30 971;33 888;330;466;466;443;438;479;406;286;660
2002;11;33 170;34 135;304;483;483;466;465;480;437;302;660
2002;10;32 977;34 308;323;485;485;463;474;514;455;317;660
2002;9;33 170;34 916;361;475;475;446;442;489;438;325;660
2002;8;32 935;35 487;305;496;496;470;460;499;467;332;660
2002;7;32 981;36 557;301;522;522;501;484;548;486;340;660
2002;6;33 703;37 631;274;537;537;518;510;545;539;346;660
2002;5;33 103;38 647;241;550;550;531;526;559;550;345;660
2002;4;33 110;39 847;224;551;551;531;525;556;555;340;660
2002;3;32 790;41 425;220;552;552;529;535;557;564;340;660
2002;2;32 829;42 757;233;528;528;511;512;542;538;334;660
2002;1;33 287;44 120;234;521;521;502;505;539;541;333;660
2001;12;33 752;45 415;228;535;508;505;510;535;546;325;660
2001;11;35 180;46 738;237;478;462;471;474;507;515;335;660
2001;10;39 832;47 875;248;504;504;489;480;504;520;350;683
2001;9;39 803;48 580;263;526;500;507;502;526;541;407;710
2001;8;44 974;49 094;228;529;535;508;501;529;535;438;710
2001;7;45 045;49 023;211;546;551;527;515;546;551;445;710
2001;6;45 483;48 856;204;557;528;522;525;557;548;444;710
2001;5;46 565;48 639;187;560;560;525;540;560;560;465;710
2001;4;51 370;47 980;165;547;520;510;512;547;552;472;710
2001;3;47 677;46 686;179;536;531;489;494;536;531;474;710
2001;2;49 679;45 548;173;560;535;501;503;560;543;478;710
2001;1;47 732;44 269;162;548;565;502;505;548;537;474;710
2000;12;48 494;42 772;167;555;569;514;511;555;571;488;710
2000;11;48 247;41 175;162;578;603;540;531;578;582;501;710
2000;10;47 681;39 540;155;592;562;541;545;592;598;496;710
2000;9;45 697;37 505;157;593;573;546;547;593;605;482;710
2000;8;44 194;35 683;148;604;601;538;541;604;601;473;710
2000;7;43 187;33 920;149;600;582;546;539;600;593;440;671
2000;6;42 987;32 300;154;594;554;541;543;594;601;435;630
2000;5;39 242;30 813;148;573;552;558;545;592;598;422;630
2000;4;36 490;29 594;134;584;567;540;549;584;577;375;630
2000;3;35 000;28 813;132;573;584;543;534;573;576;358;630
2000;2;32 721;28 300;135;596;560;564;556;596;599;342;630
2000;1;31 013;28 078;150;611;592;571;578;611;609;323;630
1999;12;30 635;28 103;145;516;540;534;545;581;576;308;630
1999;11;29 327;28 129;163;566;580;521;538;566;564;284;604
1999;10;24 858;28 507;169;571;545;539;537;567;573;281;595
1999;9;24 533;29 293;163;545;513;523;518;535;552;251;595
1999;8;24 355;30 082;185;546;524;501;486;517;524;254;597
1999;7;24 923;30 913;194;508;488;486;494;508;512;247;655
1999;6;25 643;31 695;176;436;436;461;483;494;497;252;655
1999;5;25 455;32 393;185;445;412;428;433;445;452;216;655
1999;4;27 367;33 128;178;438;402;407;409;425;425;264;655
1999;3;29 187;33 677;187;387;434;423;422;439;442;298;655
1999;2;31 114;34 082;198;442;414;408;420;442;443;296;655
1999;1;31 293;34 293;194;413;397;395;387;413;410;301;655
1998;12;30 927;34 512;209;435;431;405;410;441;432;307;655
1998;11;33 750;34 762;213;435;457;432;422;443;451;344;655
1998;10;33 750;34 762;230;451;451;432;440;451;451;343;655
1998;9;33 750;34 716;251;439;442;428;414;439;442;347;655
1998;8;33 750;34 555;221;461;493;458;438;461;467;350;655
1998;7;33 750;34 388;200;499;476;485;481;491;492;350;655
1998;6;33 771;34 221;194;495;501;493;489;495;496;349;655
1998;5;33 750;34 060;175;505;514;509;500;505;508;354;655
1998;4;33 750;33 894;172;493;495;495;502;512;512;358;655
1998;3;33 750;33 733;174;515;508;497;495;504;502;351;655
1998;2;33 750;33 423;195;498;518;506;500;511;507;350;655
1998;1;33 750;33 423;209;541;519;521;512;526;523;351;655
1997;12;33 750;33 335;219;560;550;535;528;545;539;355;655
1997;11;33 750;33 257;230;566;558;558;549;566;558;356;653
1997;10;33 226;33 203;238;569;565;564;564;580;571;350;630
1997;9;31 875;33 241;235;570;548;554;549;555;548;332;630
1997;8;31 875;33 489;269;565;553;558;559;565;553;338;630
1997;7;31 875;33 806;254;553;571;550;546;550;543;333;630
1997;6;31 896;34 187;266;567;576;572;563;567;561;337;630
1997;5;31 875;34 664;264;579;604;579;595;596;594;341;630
1997;4;31 875;35 163;253;597;578;587;592;593;589;331;630
1997;3;31 875;35 759;243;571;585;573;580;580;578;321;630
1997;2;31 964;36 521;245;575;555;545;536;539;540;323;630
1997;1;32 762;37 445;254;564;630;577;565;569;565;324;630
1996;12;32 863;38 561;268;583;575;585;581;582;584;334;644
1996;11;33 125;40 096;270;594;582;591;577;579;576;336;655
1996;10;33 649;42 138;293;580;634;601;608;611;606;339;655
1996;9;34 771;44 752;296;628;636;629;609;620;620;367;670
1996;8;35 444;46 611;314;656;661;644;653;662;661;390;675
1996;7;36 169;48 879;313;666;671;651;640;659;653;375;675
1996;6;37 438;51 735;282;636;667;664;666;684;676;389;675
1996;5;37 500;54 904;284;677;640;657;656;671;662;379;675
1996;4;38 792;58 416;284;676;679;658;648;676;656;395;695
1996;3;40 444;61 742;295;663;669;671;665;692;669;423;700
1996;2;41 961;64 839;303;598;650;660;667;700;679;438;700
1996;1;45 282;65 661;306;662;679;651;643;677;649;470;750
1995;12;50 081;66 411;334;689;715;685;670;689;681;553;770
1995;11;56 750;66 699;341;750;767;712;697;719;722;600;805
1995;10;62 863;66 378;344;743;755;754;743;761;760;699;804
1995;9;56 188;65 488;344;739;715;740;759;765;768;602;794
1995;8;60 685;65 218;331;721;743;733;732;740;743;602;825
1995;7;67 883;64 528;321;749;763;745;740;749;751;646;825
1995;6;73 708;63 222;323;757;758;754;768;774;781;731;825
1995;5;76 290;61 517;314;758;800;759;746;758;765;764;825
1995;4;76 625;59 814;327;776;809;788;787;796;809;795;825
1995;3;74 435;58 410;332;797;812;805;789;799;810;823;825
1995;2;53 415;57 372;343;811;833;805;805;815;822;593;825
1995;1;53 488;58 233;341;820;832;828;814;822;832;588;825
1994;12;53 226;59 277;326;801;808;809;829;837;840;581;797
1994;11;53 125;60 465;314;832;818;827;803;814;818;554;795
1994;10;53 125;61 814;328;823;844;831;841;850;855;554;795
1994;9;53 125;63 364;324;799;813;815;822;833;840;564;795
1994;8;53 125;65 138;302;804;757;784;800;804;808;563;770
1994;7;53 548;68 488;301;756;764;755;744;749;758;568;770
1994;6;54 354;71 155;320;725;803;764;779;787;803;555;770
1994;5;57 540;73 150;295;709;677;706;716;725;736;570;789
1994;4;60 625;75 355;278;658;663;681;703;706;724;603;795
1994;3;62 964;78 518;283;646;628;653;670;676;688;619;795
1994;2;63 929;82 876;266;561;642;613;637;643;659;620;795
1994;1;65 000;87 119;256;593;573;583;589;596;610;627;796
1993;12;66 310;92 252;269;618;627;594;578;586;598;627;815
1993;11;68 458;95 448;293;596;628;620;615;625;639;652;815
1993;10;70 161;97 886;284;615;639;614;612;623;635;689;834
1993;9;73 229;102 131;303;616;640;633;635;645;660;703;840
1993;8;89 819;107 797;292;;657;651;638;650;670;711;840
1993;7;82 661;108 732;311;664;696;693;686;701;713;774;840
1993;6;76 813;110 368;329;730;744;712;691;702;717;733;869
1993;5;81 512;112 446;332;778;750;727;728;748;764;776;910
1993;4;96 104;114 088;329;748;754;725;732;758;775;914;980
1993;3;110 141;114 351;317;777;789;740;736;775;796;1 134;1 000
1993;2;114 554;113 322;331;812;834;779;767;805;822;1 178;1 000
1993;1;120 141;112 308;356;823;821;800;794;832;858;1 167;1 000
1992;12;100 484;110 445;360;853;889;830;816;844;871;1 082;973
1992;11;95 313;110 468;380;832;852;819;830;862;889;1 002;962
1992;10;115 343;110 533;380;876;890;844;828;863;893;1 106;985
1992;9;135 292;108 131;360;913;904;871;857;898;934;1 083;985
1992;8;99 698;104 184;385;917;936;903;917;957;982;1 076;985
1992;7;99 919;103 418;358;908;897;888;917;952;971;1 052;985
1992;6;99 417;102 945;343;897;900;874;879;915;942;1 034;985
1992;5;98 770;102 901;303;877;884;862;852;892;919;1 026;995
1992;4;98 958;102 451;300;889;903;870;873;908;933;1 033;1 035
1992;3;99 315;101 948;316;874;897;864;871;913;940;1 041;1 035
1992;2;99 203;101 417;311;869;891;848;843;886;915;1 029;1 035
1992;1;100 484;100 674;326;869;887;844;843;887;911;1 012;1 035
1991;12;100 726;100 588;369;923;920;879;872;919;947;1 012;1 010
1991;11;96 021;100 253;360;903;913;881;893;931;956;939;1 000
1991;10;89 980;100 308;340;904;926;880;882;926;947;937;1 016
1991;9;92 063;100 975;344;914;936;889;887;930;952;954;1 025
1991;8;91 573;101 508;350;951;953;910;894;941;969;985;1 025
1991;7;94 899;102 074;359;950;961;919;925;966;987;975;1 025
1991;6;98 938;102 609;337;934;939;915;914;959;983;992;1 025
1991;5;93 992;102 563;316;921;933;888;894;939;962;939;1 025
1991;4;93 438;102 895;322;930;947;892;892;940;961;950;1 025
1991;3;93 669;103 391;318;942;952;906;918;966;993;954;1 025
1991;2;93 996;104 170;332;965;957;918;904;961;985;990;1 025
1991;1;99 577;105 046;368;1 010;1 017;979;955;1 010;1 039;1 014;1 025
1990;12;97 157;105 715;398;1 017;1 031;993;1 000;1 053;1 084;999;1 025
1990;11;96 625;106 439;389;1 051;1 047;1 024;1 012;1 058;1 084;994;1 027
1990;10;97 077;106 736;380;1 072;1 083;1 039;1 027;1 072;1 099;1 012;1 044
1990;9;97 917;106 867;399;1 055;1 064;1 052;1 064;1 111;1 136;1 034;1 050
1990;8;97 581;106 086;344;1 035;1 023;1 017;1 030;1 071;1 091;1 027;1 050
1990;7;100 585;105 416;266;988;981;961;956;1 004;1 023;995;1 050
1990;6;98 438;104 599;266;992;1 007;976;968;1 010;1 034;992;1 050
1990;5;97 520;103 764;239;983;988;962;968;1 005;1 027;978;1 050
1990;4;98 875;102 596;242;1 000;1 013;965;961;1 006;1 033;1 006;1 079
1990;3;101 935;101 160;259;1 040;1 033;997;961;1 021;1 059;1 066;1 100
1990;2;104 263;99 519;270;1 001;1 043;995;1 011;1 076;1 099;1 076;1 100
1990;1;106 673;98 054;263;975;995;952;957;1 012;1 037;1 111;1 100
1989;12;104 819;95 981;260;944;933;914;934;980;999;1 062;1 071
1989;11;99 875;93 849;276;936;949;906;907;953;974;1 061;1 050
1989;10;98 468;91 886;282;903;929;888;886;934;953;1 019;1 035
1989;9;89 375;89 766;258;867;886;861;887;918;932;928;1 000
1989;8;90 484;88 491;266;855;863;839;846;881;898;909;1 000
1989;7;91 935;86 942;254;845;881;857;845;880;897;914;1 000
1989;6;89 292;85 081;269;881;894;869;870;896;918;897;960
1989;5;85 121;83 448;255;888;909;880;876;900;924;889;960
1989;4;83 125;82 365;255;897;914;883;872;899;923;875;960
1989;3;84 476;81 684;270;916;930;902;899;921;948;911;960
1989;2;86 987;80 843;276;871;872;894;926;947;949;938;960
1989;1;84 556;79 861;263;862;;852;856;877;894;853;934
1988;12;82 016;79 258;303;867;900;862;853;881;920;827;925
1988;11;78 167;79 104;319;872;885;870;868;887;918;805;925
1988;10;75 726;79 865;322;871;894;871;858;877;917;790;925
1988;9;75 229;79 977;331;895;931;900;883;900;941;786;925
1988;8;73 831;79 831;359;870;;921;938;945;963;760;925
1988;7;71 895;79 852;349;915;;895;907;918;940;731;953
1988;6;71 104;80 098;334;916;934;894;882;907;960;736;960
1988;5;73 427;80 903;408;932;;922;909;938;977;781;960
1988;4;75 521;81 531;424;943;950;919;926;942;978;793;960
1988;3;75 383;81 852;462;930;948;923;936;961;1 003;790;960
1988;2;72 629;82 175;421;948;956;914;911;933;991;756;960
1988;1;78 024;82 879;503;998;;986;949;973;1 038;832;960
1987;12;80 343;83 893;501;1 000;1 016;1 000;999;;1 092;834;960
1987;11;86 688;83 680;433;1 014;;1 002;986;;1 096;883;960
1987;10;76 935;82 440;416;1 030;1 050;1 066;1 004;;1 128;833;960
1987;9;73 604;82 091;325;1 038;1 045;1 028;1 049;;1 107;799;960
1987;8;74 052;81 844;317;1 008;1 045;985;984;;1 077;792;960
1987;7;74 556;81 520;322;965;;935;953;;1 037;785;960
1987;6;80 104;81 357;239;972;945;932;940;;1 038;829;960
